Year,Period,Label,Value
2014,M01,2014 Jan,0.134
2014,M02,2014 Feb,0.134
2014,M03,2014 Mar,0.135
2014,M04,2014 Apr,0.131
2014,M05,2014 May,0.136
2014,M06,2014 Jun,0.143
2014,M07,2014 Jul,0.143
2014,M08,2014 Aug,0.143
2014,M09,2014 Sep,0.141
2014,M10,2014 Oct,0.136
2014,M11,2014 Nov,0.134
2014,M12,2014 Dec,0.135
2015,M01,2015 Jan,0.138
2015,M02,2015 Feb,0.138
2015,M03,2015 Mar,0.136
2015,M04,2015 Apr,0.137
2015,M05,2015 May,0.137
2015,M06,2015 Jun,0.143
2015,M07,2015 Jul,0.142
2015,M08,2015 Aug,0.142
2015,M09,2015 Sep,0.141
2015,M10,2015 Oct,0.136
2015,M11,2015 Nov,0.134
2015,M12,2015 Dec,0.133
2016,M01,2016 Jan,0.134
2016,M02,2016 Feb,0.134
2016,M03,2016 Mar,0.134
2016,M04,2016 Apr,0.134
2016,M05,2016 May,0.133
2016,M06,2016 Jun,0.138
2016,M07,2016 Jul,0.139
2016,M08,2016 Aug,0.139
2016,M09,2016 Sep,0.139
2016,M10,2016 Oct,0.134
2016,M11,2016 Nov,0.131
2016,M12,2016 Dec,0.133
2017,M01,2017 Jan,0.134
2017,M02,2017 Feb,0.135
2017,M03,2017 Mar,0.134
2017,M04,2017 Apr,0.135
2017,M05,2017 May,0.137
2017,M06,2017 Jun,0.142
2017,M07,2017 Jul,0.143
2017,M08,2017 Aug,0.142
2017,M09,2017 Sep,0.142
2017,M10,2017 Oct,0.137
2017,M11,2017 Nov,0.136
2017,M12,2017 Dec,0.136
2018,M01,2018 Jan,0.135
2018,M02,2018 Feb,0.135
2018,M03,2018 Mar,0.135
2018,M04,2018 Apr,0.134
2018,M05,2018 May,0.136
2018,M06,2018 Jun,0.139
2018,M07,2018 Jul,0.139
2018,M08,2018 Aug,0.139
2018,M09,2018 Sep,0.138
2018,M10,2018 Oct,0.136
2018,M11,2018 Nov,0.134
2018,M12,2018 Dec,0.135
2019,M01,2019 Jan,0.135
2019,M02,2019 Feb,0.136
2019,M03,2019 Mar,0.135
2019,M04,2019 Apr,0.135
2019,M05,2019 May,0.136
2019,M06,2019 Jun,0.139
2019,M07,2019 Jul,0.14
2019,M08,2019 Aug,0.139
2019,M09,2019 Sep,0.139
2019,M10,2019 Oct,0.136
2019,M11,2019 Nov,0.133
2019,M12,2019 Dec,0.133
2020,M01,2020 Jan,0.134
2020,M02,2020 Feb,0.134
2020,M03,2020 Mar,0.134
2020,M04,2020 Apr,0.133
2020,M05,2020 May,0.134
2020,M06,2020 Jun,0.137
2020,M07,2020 Jul,0.137
2020,M08,2020 Aug,0.137
2020,M09,2020 Sep,0.137
2020,M10,2020 Oct,0.135
2020,M11,2020 Nov,0.136
2020,M12,2020 Dec,0.136
2021,M01,2021 Jan,0.136
2021,M02,2021 Feb,0.137
2021,M03,2021 Mar,0.138
2021,M04,2021 Apr,0.139
2021,M05,2021 May,0.14
2021,M06,2021 Jun,0.142
2021,M07,2021 Jul,0.143
2021,M08,2021 Aug,0.144
2021,M09,2021 Sep,0.144
2021,M10,2021 Oct,0.142
2021,M11,2021 Nov,0.142
2021,M12,2021 Dec,0.142
2022,M01,2022 Jan,0.147
2022,M02,2022 Feb,0.148
2022,M03,2022 Mar,0.15
2022,M04,2022 Apr,0.151
2022,M05,2022 May,0.154
2022,M06,2022 Jun,0.16
2022,M07,2022 Jul,0.164
2022,M08,2022 Aug,0.167
2022,M09,2022 Sep,0.167
2022,M10,2022 Oct,0.166
2022,M11,2022 Nov,0.163
2022,M12,2022 Dec,0.165
2023,M01,2023 Jan,0.168
2023,M02,2023 Feb,0.168
2023,M03,2023 Mar,0.166
2023,M04,2023 Apr,0.165
2023,M05,2023 May,0.165
2023,M06,2023 Jun,0.17
2023,M07,2023 Jul,0.169
2023,M08,2023 Aug,0.17
2023,M09,2023 Sep,0.171
2023,M10,2023 Oct,0.169
2023,M11,2023 Nov,0.168
2023,M12,2023 Dec,0.169
2024,M01,2024 Jan,0.173
2024,M02,2024 Feb,0.173
2024,M03,2024 Mar,0.174
2024,M04,2024 Apr,0.173
2024,M05,2024 May,0.175
2024,M06,2024 Jun,0.178
2024,M07,2024 Jul,0.178
2024,M08,2024 Aug,0.177
